"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "JSON", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\my-mfo\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"e:\my-mfo\app\[lang]\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 286, 0, 7, 9, 302
"e:\my-mfo\app\[lang]\ask-question\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 306, 0, 15, 32, 353
"e:\my-mfo\app\[lang]\ask-question\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 538, 0, 19, 41, 598
"e:\my-mfo\app\[lang]\author\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 412, 0, 18, 25, 455
"e:\my-mfo\app\[lang]\currency-exchange\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 383, 0, 11, 26, 420
"e:\my-mfo\app\[lang]\journal\[category]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 334, 0, 15, 23, 372
"e:\my-mfo\app\[lang]\journal\article\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 280, 0, 15, 20, 315
"e:\my-mfo\app\[lang]\journal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 297, 0, 9, 16, 322
"e:\my-mfo\app\[lang]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 5, 97
"e:\my-mfo\app\[lang]\mfos\[slug]\contacts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 2, 77
"e:\my-mfo\app\[lang]\mfos\[slug]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 3, 44
"e:\my-mfo\app\[lang]\mfos\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 9, 123
"e:\my-mfo\app\[lang]\mfos\[slug]\promocodes\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 6, 58
