Date : 2025-07-29 12:28:10
Directory : e:\my-mfo
Total : 115 files,  15452 codes, 296 comments, 623 blanks, all 16371 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      7,412 |          0 |          9 |      7,421 |
| TypeScript JSX     |         55 |      7,381 |        205 |        528 |      8,114 |
| XML                |         35 |        300 |          0 |         27 |        327 |
| TypeScript         |         15 |        267 |         90 |         35 |        392 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          3 |         22 |          0 |          5 |         27 |
| CSS                |          1 |         20 |          1 |          4 |         25 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                  |        115 |     15,452 |        296 |        623 |     16,371 |
| . (Files)                                                          |         10 |      6,280 |          2 |         33 |      6,315 |
| app                                                                |         70 |      8,872 |        294 |        563 |      9,729 |
| app (Files)                                                        |          2 |         24 |          1 |          5 |         30 |
| app\[lang]                                                         |         21 |      5,032 |        164 |        336 |      5,532 |
| app\[lang] (Files)                                                 |          2 |        148 |          3 |         10 |        161 |
| app\[lang]\about                                                   |          1 |        286 |          7 |          9 |        302 |
| app\[lang]\ask-question                                            |          2 |        844 |         34 |         73 |        951 |
| app\[lang]\ask-question (Files)                                    |          1 |        538 |         19 |         41 |        598 |
| app\[lang]\ask-question\[slug]                                     |          1 |        306 |         15 |         32 |        353 |
| app\[lang]\author                                                  |          1 |        412 |         18 |         25 |        455 |
| app\[lang]\author\[slug]                                           |          1 |        412 |         18 |         25 |        455 |
| app\[lang]\currency-exchange                                       |          1 |        383 |         11 |         26 |        420 |
| app\[lang]\journal                                                 |          3 |        911 |         39 |         59 |      1,009 |
| app\[lang]\journal (Files)                                         |          1 |        297 |          9 |         16 |        322 |
